diagnosis_code,n
Injury of extensor muscle / tendon of thumb,1
Injury of extensor muscle and tendon of finger(s),1
"Injury of eye and orbit, part unspecified",1
Injury of finger flexor muscle / tendon,2
Injury of finger(s) extensor muscle / tendon at forearm level,1
Injury of quadriceps muscle and tendon,2
Injury of thumb flexor muscle / tendon at forearm level,1
Injury of wrist and hand - unspecified,2
Insulin dependent diabetes mellitus with ketoacidosis,1
Insulin dependent diabetes mellitus with multiple complications,1
Internal thrombosed haemorrhoids,1
"Intestinal obstruction, unspecified",1
"Iron deficiency anaemia, unspecified",1
"Joint disorder, unspecified",1
"Juvenile osteochondrosis of hip and pelvis, unspecified",1
Localized oedema,2
Low back pain,15
Lower abdomen pain,2
Lymphoid leukaemia - Chronic lymphocytic leukaemia,1
Malaise and fatigue,1
Malignant neoplasm of brain - Frontal lobe,1
Manic episode,1
Mechanical complication of urinary (indwelling) catheter,2
Medial epicondylitis,1
Migraine,5
Migraine with aura [classical migraine],1
"Multiple fractures of femur, closed",2
Multiple injuries of head,1
Nausea and vomiting,9
No Injury or Abnormality Detected,54
Non-insulin-dependent diabetes mellitus without complications,1
"Noninfective gastroenteritis and colitis, unspecified",1
Nonsuppurative otitis media - Acute serous otitis media,1
"Oedema, unspecified",1
Open wound of eyelid and periorbital area,1
"Open wound of face, chin or cheek",1
Open wound of finger(s) with damage to nail,1
Open wound of finger(s) without damage to nail,3
Open wound of forearm,1
Open wound of hand,6
Open wound of nose,1
Open wound of penis,1
Open wound of scalp,15
Open wound of thigh,2
"Orchitis, epididymitis and epididymo-orchitis without abscess",1
"Osteoarthrisis of hip, unspecified",4
"Osteoarthritis of knee, unspecified",1
Osteoporosis of disuse without pathological fracture,1
Other and unspecified speech disturbances,1
Other and unspecified symptoms and signs involving cognitive functions and awareness,1
Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,3
"Other arthritis - Arthritis, unspecified",2
Other bacterial pneumonia,2
"Other chronic obstructive pulmonary disease - Chronic obstructive pulmonary disease with acute exacerbation, unspecified",8
"Other complications of internal orthopaedic prosthetic devices, implants and grafts",1
Other corneal scars and opacities,1
Other diseases of lip and oral mucosa - Cheek and lip biting,1
Other diseases of lip and oral mucosa - Diseases of lips,1
Other gastritis,4
Other Mood Disorder,7
"Other Muscle / tendon injury at wrist, hand level",1
"Other noninfective disorders of lymphatic vessels and lymph nodes - Lymphoedema, NEC",1
Other perforations of tympanic membrane,1
Other retinal detachments,1
Other specified abnormal uterine and vaginal bleeding,1
Other specified diseases of pancreas,1
Other specified disorders of cornea,1
Other specified injuries of head,1
Other specified injuries of lower leg,1
Other specified injuries of shoulder and upper arm,1
Other spontaneous disruption of ligament(s) of knee - Medial collateral ligament,1
Other testicular dysfunction,1
Other visual disturbances,1
"Otitis media, unspecified",1
Palliative care,1
Palpitations,4
Paraesthesia of skin,1
Parkinson's disease,1
Pelvic and perineal pain,1
"Phimosis and paraphimosis, redundant prepuce",2
Pilonidal cyst with abscess,2
"Pleural condition, unspecified",1
Pleural effusion in conditions classified elsewhere,1
Pleurisy / Pleuritic chest pain,3
"Pneumonia, unspecified",6
Pneumonitis due to food and vomit,1
Poisoning by Benzodiazepines,2
Poisoning by Other opiates,1
Poisoning by Paracetamol,4
Prepatellar bursitis,1
Primary osteoarthritis of hip,1
Pulmonary embolism without signs of acute cor pulmonale,2
"Purpura and other haemorrhagic conditions - Thrombocytopenia, unspecified",1
"Pyogenic arthritis, unspecified",3
Renal colic - unspecified,1
Retention of urine,4
Rotator cuff tendon injury shoulder,2
Sciatica,4
Sebaceous cyst,3
"Seizures - Grand mal, unspecified ",10
Sequelae of unspecified injury of head,1
"Shock, unspecified",1
"Spontaneous abortion. Incomplete, without complication",1
Sprain and strain of acromioclavicular joint,2
Sprain and strain of ankle,13
"Sprain and strain of collateral ligament of knee - medial, lateral",1
Sprain and strain of finger(s),1
Sprain and Strain of finger(s) and thumb,1
Sprain and strain of foot,2
"Sprain and strain of knee, unspecified",6
Sprain and strain of neck,12
Sprain and strain of ribs and sternum,1
Sprain and strain of shoulder girdle - parts unspecified,1
Sprain and strain of shoulder joint,11
Sprain and strain of wrist,3
Strange and inexplicable behaviour,1
"Stroke, not specified as haemorrhage or infarction",9
Suicidal Ideation,6
Superficial injuries involving multiple regions of lower limb(s),1
Superficial injury of foot,2
"Superficial injury of head, part unspecified",2
Superficial injury of lower leg - calf,2
Superficial injury of scalp,13
Superficial injury of shoulder,1
Superficial injury of wrist,2
Supervision of high-risk pregnancy - Supervision of other high-risk pregnancies,1
Supraventricular tachycardia,1
Symptoms and signs involving emotional state - Restlessness and agitation,1
Syncope and collapse,22
Tendancy to fall,27
Torsion of testis,1
Transient cerebral ischaemic attack - Amaurosis fugax,1
"Transient cerebral ischaemic attack, unspecified",7
Traumatic arthropathy,1
Traumatic subarachnoid haemorrhage,1
Traumatic subdural haemorrhage,1
"Ulcer of lower limb, NEC",2
Umbilical hernia without obstruction or gangrene,1
Unspecified acute lower respiratory infection,18
Unspecified injury of ankle and foot,2
Unspecified injury of hip and thigh,2
Unspecified injury of shoulder and upper arm,1
"Urinary tract infection, site not specified",11
"Viral pneumonia, Other",1
Zoster [ herpes zoster ] - Zoster ocular disease,1
